campaign_id,brand,review_text,sentiment
CAMPAIGN_1,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_2,Apple,Battery life is disappointing.,Negative
CAMPAIGN_3,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_4,Amazon,Delivery was super quick!,Positive
CAMPAIGN_5,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_6,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_7,LG,Interface is clunky and slow.,Negative
CAMPAIGN_8,Puma,Decent product for the price.,Neutral
CAMPAIGN_9,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_10,Apple,Battery life is disappointing.,Negative
CAMPAIGN_11,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_12,Adidas,Love the new collection!,Positive
CAMPAIGN_13,OnePlus,Fast performance but heats up sometimes.,Neutral
CAMPAIGN_14,Amazon,Delivery was super quick!,Positive
CAMPAIGN_15,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_16,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_17,LG,Interface is clunky and slow.,Negative
CAMPAIGN_18,Puma,Decent product for the price.,Neutral
CAMPAIGN_19,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_20,Apple,Battery life is disappointing.,Negative
CAMPAIGN_21,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_22,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_23,LG,Interface is clunky and slow.,Negative
CAMPAIGN_24,Puma,Decent product for the price.,Neutral
CAMPAIGN_25,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_26,Apple,Battery life is disappointing.,Negative
CAMPAIGN_27,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_28,Adidas,Love the new collection!,Positive
CAMPAIGN_29,OnePlus,Fast performance but heats up sometimes.,Neutral
CAMPAIGN_30,Amazon,Delivery was super quick!,Positive
CAMPAIGN_31,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_32,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_33,LG,Interface is clunky and slow.,Negative
CAMPAIGN_34,Puma,Decent product for the price.,Neutral
CAMPAIGN_35,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_36,Apple,Battery life is disappointing.,Negative
CAMPAIGN_37,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_38,Adidas,Love the new collection!,Positive
CAMPAIGN_39,OnePlus,Fast performance but heats up sometimes.,Neutral
CAMPAIGN_40,Amazon,Delivery was super quick!,Positive
CAMPAIGN_41,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_42,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_43,LG,Interface is clunky and slow.,Negative
CAMPAIGN_44,Puma,Decent product for the price.,Neutral
CAMPAIGN_45,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_46,Apple,Battery life is disappointing.,Negative
CAMPAIGN_47,Samsung,Display quality is great but camera could be better.,Neutral
